competition_name,country_name
1. Bundesliga,Germany
African Cup of Nations,Africa
Champions League,Europe
Copa America,South America
Copa del Rey,Spain
FA Women's Super League,England
FIFA U20 World Cup,International
FIFA World Cup,International
Indian Super league,India
La Liga,Spain
Liga Profesional,Argentina
Ligue 1,France
Major League Soccer,United States of America
NWSL,United States of America
North American League,North and Central America
Premier League,England
Serie A,Italy
UEFA Euro,Europe
UEFA Europa League,Europe
UEFA Women's Euro,Europe
Women's World Cup,International
